leader,gnn_trial,deck_trial,score,meta_overlap,avg_synergy,num_singletons,deck_size,synergy_mse
OP01-001,1,1,2853.55908203125,0,2.0635008811950684,5,50,1.7926334353942783
OP01-001,1,2,2815.09130859375,1,2.0473592281341553,5,50,1.7926334353942783
OP01-001,1,3,2837.621826171875,1,2.053220510482788,5,50,1.7926334353942783
OP01-001,1,4,2853.666748046875,1,2.061459541320801,5,50,1.7926334353942783
OP01-001,1,5,2840.41064453125,3,2.0575971603393555,5,50,1.7926334353942783
OP01-001,1,6,2807.177978515625,0,2.0475385189056396,4,50,1.7926334353942783
OP01-001,1,7,2812.501953125,1,2.045056104660034,5,50,1.7926334353942783
OP01-001,1,8,2828.198486328125,0,2.048964262008667,5,50,1.7926334353942783
OP01-001,1,9,2859.909912109375,2,2.0657811164855957,3,50,1.7926334353942783
OP01-001,1,10,2812.64599609375,1,2.0397913455963135,5,50,1.7926334353942783
OP01-001,1,11,2810.066650390625,0,2.048340082168579,5,50,1.7926334353942783
OP01-001,1,12,2785.2744140625,2,2.0466763973236084,3,50,1.7926334353942783
OP01-001,1,13,2814.405029296875,0,2.0462920665740967,5,50,1.7926334353942783
OP01-001,1,14,2813.323486328125,1,2.045757532119751,5,50,1.7926334353942783
OP01-001,1,15,2827.826416015625,2,2.0453076362609863,5,50,1.7926334353942783
OP01-001,1,16,2805.099365234375,1,2.0401222705841064,5,50,1.7926334353942783
OP01-001,1,17,2837.546630859375,1,2.051652431488037,5,50,1.7926334353942783
OP01-001,1,18,2792.9873046875,1,2.04586124420166,5,50,1.7926334353942783
OP01-001,1,19,2811.589599609375,1,2.046468734741211,4,50,1.7926334353942783
OP01-001,1,20,2846.966552734375,3,2.0597355365753174,5,50,1.7926334353942783
OP01-001,1,21,2789.9697265625,1,2.040217161178589,2,50,1.7926334353942783
OP01-001,1,22,2835.05322265625,1,2.060305595397949,5,50,1.7926334353942783
OP01-001,1,23,2822.11279296875,1,2.0483062267303467,5,50,1.7926334353942783
OP01-001,1,24,2837.74853515625,1,2.0599865913391113,5,50,1.7926334353942783
OP01-001,1,25,2784.37451171875,0,2.0425829887390137,1,50,1.7926334353942783
OP01-001,1,26,2852.41650390625,2,2.0592849254608154,5,50,1.7926334353942783
OP01-001,1,27,2819.21484375,3,2.0455052852630615,4,50,1.7926334353942783
OP01-001,1,28,2838.566650390625,2,2.0611050128936768,5,50,1.7926334353942783
OP01-001,1,29,2816.89208984375,0,2.044161319732666,5,50,1.7926334353942783
